starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	1	6	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	1	6	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	6	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	6	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	6	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	0	7	8	6
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	6	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	6	8	5
Sat Jul 18 14:08:03 2020	1595070483	3	5	8	4
Sat Jul 18 14:08:03 2020	1595070483	1	6	8	5
Sat Jul 18 14:08:03 2020	1595070483	2	6	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	0	8	8	7
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	0	7	8	7
Sat Jul 18 14:08:03 2020	1595070483	0	7	8	7
Sat Jul 18 14:08:03 2020	1595070483	0	8	8	7
Sat Jul 18 14:08:04 2020	1595070484	0	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	0	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:03 2020	1595070483	0	8	8	7
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	0	8	8	7
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:03 2020	1595070483	0	8	8	7
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	6
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	6
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	0	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	6
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	6
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	6
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	6
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	0	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	5
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	8	6
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	7
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	2	6	8	4
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:03 2020	1595070483	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	7
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	7
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	7
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	7
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	4
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	7
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	8	8	7
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	0	8	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	5
Sat Jul 18 14:08:04 2020	1595070484	1	7	8	6
